dataset,system,nDCG@10,p50_ms,p95_ms,ingestion_seconds
scifact,sift,0.696389951077395,0.8305834999999999,1.137375,2.717380833986681
scifact,bm25,0.6839043450068371,4.0490835,4.82925,0.9814184579299763
scifact,bge,0.7127069247605032,14.090646000000001,16.465,175.4196094580111
scifact,splade,0.7079126268852223,36.481479,41.717625,379.671654707985
scifact,weaviate-hybrid,0.7229059427183963,20.7682085,24.164333,181.27029558399227
nfcorpus,sift,0.33225678341255105,0.559792,0.745417,2.355732249910943
nfcorpus,bm25,0.32820778004897283,3.4474165,4.480582999999999,1.4849624159978703
nfcorpus,bge,0.3430117209340977,12.568437,14.752417,131.55697308306117
nfcorpus,splade,0.3524894622050545,35.3573335,39.781542,273.676377833006
nfcorpus,weaviate-hybrid,0.34041251284647484,18.6185205,20.8375,123.16661166702397
arguana,sift,0.4489763024098603,2.0260205,3.266625,4.765803541988134
arguana,bm25,0.49136025122268706,7.718104499999999,10.982084,1.8903786670416594
arguana,bge,0.6034783016399943,27.7788545,47.944125,244.52813649992459
arguana,splade,0.5075673633577845,68.7494585,108.132875,528.8125801669667
arguana,weaviate-hybrid,0.47774096790097215,41.318521000000004,66.728875,249.40704616589937
